source,country,level,covered,entity_count
GAUL,Afghanistan,0,True,1
GAUL,Afghanistan,1,True,34
GAUL,Afghanistan,2,True,401
GAUL,Albania,0,True,1
GAUL,Albania,1,True,12
GAUL,Albania,2,True,61
GAUL,Algeria,0,True,1
GAUL,Algeria,1,True,48
GAUL,Algeria,2,True,1541
GAUL,Andorra,0,True,1
GAUL,Angola,0,True,1
GAUL,Angola,1,True,18
GAUL,Argentina,0,True,1
GAUL,Argentina,1,True,24
GAUL,Argentina,2,True,526
GAUL,Armenia,0,True,1
GAUL,Armenia,1,True,11
GAUL,Armenia,2,True,40
GAUL,Australia,0,True,1
GAUL,Australia,1,True,10
GAUL,Australia,2,True,2452
GAUL,Austria,0,True,1
GAUL,Austria,1,True,9
GAUL,Azerbaijan,0,True,1
GAUL,Azerbaijan,1,True,14
GAUL,Azerbaijan,2,True,74
GAUL,Bahamas,0,True,1
GAUL,Bahamas,1,True,32
GAUL,Bangladesh,0,True,1
GAUL,Bangladesh,1,True,8
GAUL,Bangladesh,2,True,64
GAUL,Belarus,0,True,1
GAUL,Belarus,1,True,7
GAUL,Belarus,2,True,119
GAUL,Belgium,0,True,1
GAUL,Belgium,1,True,3
GAUL,Belgium,2,True,11
GAUL,Belize,0,False,0
GAUL,Belize,1,True,6
GAUL,Belize,2,True,30
GAUL,Benin,0,True,1
GAUL,Benin,1,True,12
GAUL,Benin,2,True,77
GAUL,Bhutan,0,True,1
GAUL,Bhutan,1,True,20
GAUL,Bhutan,2,True,205
GAUL,Bolivia,0,True,1
GAUL,Bolivia,1,True,9
GAUL,Bolivia,2,True,112
GAUL,Bosnia and Herzegovina,0,True,1
GAUL,Bosnia and Herzegovina,1,True,3
GAUL,Bosnia and Herzegovina,2,True,12
GAUL,Botswana,0,True,1
GAUL,Botswana,1,True,17
GAUL,Brazil,0,True,1
GAUL,Brazil,1,True,27
GAUL,Brazil,2,True,5570
GAUL,Bulgaria,0,True,1
GAUL,Bulgaria,1,True,28
GAUL,Bulgaria,2,True,265
GAUL,Burkina Faso,0,False,0
GAUL,Burkina Faso,1,True,13
GAUL,Burkina Faso,2,True,45
GAUL,Burundi,0,True,1
GAUL,Burundi,1,True,18
GAUL,Cabo Verde,0,True,1
GAUL,Cabo Verde,1,True,9
GAUL,Cabo Verde,2,True,22
GAUL,Cambodia,0,True,1
GAUL,Cambodia,1,True,26
GAUL,Cambodia,2,True,198
GAUL,Cameroon,0,True,1
GAUL,Cameroon,1,True,10
GAUL,Cameroon,2,True,58
GAUL,Canada,0,True,1
GAUL,Canada,1,True,13
GAUL,Canada,2,True,295
GAUL,Central African Republic,0,True,1
GAUL,Central African Republic,1,True,7
GAUL,Central African Republic,2,True,17
GAUL,Chad,0,True,1
GAUL,Chad,1,True,24
GAUL,Chile,0,True,1
GAUL,Chile,1,True,16
GAUL,Chile,2,True,56
GAUL,China,0,False,0
GAUL,China,1,True,31
GAUL,China,2,True,358
GAUL,Colombia,0,True,1
GAUL,Colombia,1,True,33
GAUL,Colombia,2,True,1122
GAUL,Congo,0,True,1
GAUL,Congo,1,True,12
GAUL,Congo,2,True,89
GAUL,Cook Islands,0,True,1
GAUL,Costa Rica,0,True,1
GAUL,Costa Rica,1,True,7
GAUL,Costa Rica,2,True,82
GAUL,Cote d'Ivoire,0,True,1
GAUL,Cote d'Ivoire,1,True,14
GAUL,Cote d'Ivoire,2,True,33
GAUL,Croatia,0,True,1
GAUL,Croatia,1,True,21
GAUL,Cuba,0,True,1
GAUL,Cuba,1,True,16
GAUL,Cuba,2,True,169
GAUL,Cyprus,0,True,1
GAUL,Cyprus,1,True,6
GAUL,Czech Republic,0,True,1
GAUL,Czech Republic,1,True,14
GAUL,Czech Republic,2,True,77
GAUL,Democratic People's Republic of Korea,0,True,1
GAUL,Democratic People's Republic of Korea,1,True,11
GAUL,Democratic People's Republic of Korea,2,True,179
GAUL,Democratic Republic of the Congo,0,True,1
GAUL,Democratic Republic of the Congo,1,True,26
GAUL,Democratic Republic of the Congo,2,True,219
GAUL,Denmark,0,True,1
GAUL,Denmark,1,True,5
GAUL,Denmark,2,True,99
GAUL,Djibouti,0,True,1
GAUL,Djibouti,1,True,6
GAUL,Ecuador,0,True,1
GAUL,Ecuador,1,True,24
GAUL,Ecuador,2,True,221
GAUL,Egypt,0,True,1
GAUL,Egypt,1,True,28
GAUL,Egypt,2,True,364
GAUL,El Salvador,0,True,1
GAUL,El Salvador,1,True,14
GAUL,El Salvador,2,True,44
GAUL,Equatorial Guinea,0,True,1
GAUL,Equatorial Guinea,1,True,7
GAUL,Equatorial Guinea,2,True,32
GAUL,Eritrea,0,True,1
GAUL,Eritrea,1,True,6
GAUL,Eritrea,2,True,58
GAUL,Estonia,0,True,1
GAUL,Estonia,1,True,15
GAUL,Estonia,2,True,79
GAUL,Ethiopia,0,True,1
GAUL,Ethiopia,1,True,13
GAUL,Ethiopia,2,True,92
GAUL,Faroe Islands,0,True,1
