source,class_uri,class_name,entity_count
GAUL,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level0,AdminUnit_Level0,161
GAUL,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level1,AdminUnit_Level1,2395
GAUL,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level2,AdminUnit_Level2,39537
GAUL,http://toposkg.di.uoa.gr/ontology/AdministrativeUnit,AdministrativeUnit,35181
GAUL,http://toposkg.di.uoa.gr/ontology/ToposKGFeature,ToposKGFeature,35181
GMBA_MOUNTAINS,http://toposkg.di.uoa.gr/ontology/Mountain,Mountain,5629
GMBA_MOUNTAINS,http://toposkg.di.uoa.gr/ontology/Natural,Natural,5629
GMBA_MOUNTAINS,http://toposkg.di.uoa.gr/ontology/ToposKGFeature,ToposKGFeature,5629
MARINE_REGIONS_SEAS,http://toposkg.di.uoa.gr/ontology/Natural,Natural,101
MARINE_REGIONS_SEAS,http://toposkg.di.uoa.gr/ontology/Sea,Sea,101
MARINE_REGIONS_SEAS,http://toposkg.di.uoa.gr/ontology/ToposKGFeature,ToposKGFeature,101
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level0,AdminUnit_Level0,149
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level1,AdminUnit_Level1,2145
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level2,AdminUnit_Level2,32899
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level3,AdminUnit_Level3,119060
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level4,AdminUnit_Level4,254175
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level5,AdminUnit_Level5,132851
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level6,AdminUnit_Level6,91758
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level7,AdminUnit_Level7,36101
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdminUnit_Level8,AdminUnit_Level8,12004
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/AdministrativeUnit,AdministrativeUnit,703150
OSM_ADMIN,http://toposkg.di.uoa.gr/ontology/ToposKGFeature,ToposKGFeature,703150
OSM_FORESTS,http://toposkg.di.uoa.gr/ontology/Forest,Forest,21239112
OSM_FORESTS,http://toposkg.di.uoa.gr/ontology/Natural,Natural,21239112
OSM_FORESTS,http://toposkg.di.uoa.gr/ontology/ToposKGFeature,ToposKGFeature,21239112
OSM_POIS,http://toposkg.di.uoa.gr/ontology/(historical),(historical),1
OSM_POIS,http://toposkg.di.uoa.gr/ontology/*,*,45
OSM_POIS,http://toposkg.di.uoa.gr/ontology/1/12_HOME,12_HOME,2
OSM_POIS,http://toposkg.di.uoa.gr/ontology/1/4,4,2
OSM_POIS,http://toposkg.di.uoa.gr/ontology/1/6,6,4
OSM_POIS,http://toposkg.di.uoa.gr/ontology/1001_mayda_chuyda,1001_mayda_chuyda,2
OSM_POIS,http://toposkg.di.uoa.gr/ontology/24hr_Recovery,24hr_Recovery,2
OSM_POIS,http://toposkg.di.uoa.gr/ontology/30,30,1
OSM_POIS,http://toposkg.di.uoa.gr/ontology/3d_printer,3d_printer,1
