country,has_level_0_file,has_level_1_file,has_level_2_file,level_0_entities,level_1_entities,level_2_entities,complete_gaul_level_0_2_coverage
Afghanistan,True,True,True,1,34,401,True
Aland Islands,False,False,False,0,0,0,False
Albania,True,True,True,1,12,61,True
Algeria,True,True,True,1,48,1541,True
American Samoa,False,False,False,0,0,0,False
Andorra,True,False,False,1,0,0,False
Angola,True,True,False,1,18,0,False
Anguilla,False,False,False,0,0,0,False
Antarctica,False,False,False,0,0,0,False
Antigua and Barbuda,False,False,False,0,0,0,False
Argentina,True,True,True,1,24,526,True
Armenia,True,True,True,1,11,40,True
Aruba,False,False,False,0,0,0,False
Australia,True,True,True,1,10,2452,True
Austria,True,True,False,1,9,0,False
Azerbaijan,True,True,True,1,14,74,True
Bahamas,True,True,False,1,32,0,False
Bahrain,False,False,False,0,0,0,False
Bangladesh,True,True,True,1,8,64,True
Barbados,False,False,False,0,0,0,False
Belarus,True,True,True,1,7,119,True
Belgium,True,True,True,1,3,11,True
Belize,True,True,True,0,6,30,False
Benin,True,True,True,1,12,77,True
Bermuda,False,False,False,0,0,0,False
Bhutan,True,True,True,1,20,205,True
Bolivia,True,True,True,1,9,112,True
Bonaire - Sint Eustatius and Saba,False,False,False,0,0,0,False
Bosnia and Herzegovina,True,True,True,1,3,12,True
Botswana,True,True,False,1,17,0,False
Bouvet Island,False,False,False,0,0,0,False
Brazil,True,True,True,1,27,5570,True
British Indian Ocean Territory,False,False,False,0,0,0,False
Brunei Darussalam,False,False,False,0,0,0,False
Bulgaria,True,True,True,1,28,265,True
Burkina Faso,True,True,True,0,13,45,False
Burundi,True,True,False,1,18,0,False
Cabo Verde,True,True,True,1,9,22,True
Cambodia,True,True,True,1,26,198,True
Cameroon,True,True,True,1,10,58,True
Canada,True,True,True,1,13,295,True
Cayman Islands,False,False,False,0,0,0,False
Central African Republic,True,True,True,1,7,17,True
Chad,True,True,False,1,24,0,False
Chile,True,True,True,1,16,56,True
China,True,True,True,0,31,358,False
Christmas Island,False,False,False,0,0,0,False
Cocos (Keeling) Islands,False,False,False,0,0,0,False
Colombia,True,True,True,1,33,1122,True
Comoros,False,False,False,0,0,0,False
Congo,True,True,True,1,12,89,True
Cook Islands,True,False,False,1,0,0,False
Costa Rica,True,True,True,1,7,82,True
Cote d'Ivoire,True,True,True,1,14,33,True
Croatia,True,True,False,1,21,0,False
Cuba,True,True,True,1,16,169,True
Curacao,False,False,False,0,0,0,False
Cyprus,True,True,False,1,6,0,False
Czech Republic,True,True,True,1,14,77,True
Democratic People's Republic of Korea,True,True,True,1,11,179,True
Democratic Republic of the Congo,True,True,True,1,26,219,True
Denmark,True,True,True,1,5,99,True
Djibouti,True,True,False,1,6,0,False
Dominica,False,False,False,0,0,0,False
Dominican Republic,False,False,False,0,0,0,False
Ecuador,True,True,True,1,24,221,True
Egypt,True,True,True,1,28,364,True
El Salvador,True,True,True,1,14,44,True
Equatorial Guinea,True,True,True,1,7,32,True
Eritrea,True,True,True,1,6,58,True
Estonia,True,True,True,1,15,79,True
Eswatini,False,False,False,0,0,0,False
Ethiopia,True,True,True,1,13,92,True
Falkland Islands (Malvinas),False,False,False,0,0,0,False
Faroe Islands,True,False,False,1,0,0,False
Fiji,True,True,True,1,4,15,True
Finland,True,True,True,1,7,19,True
France,True,True,True,1,13,96,True
French Guiana,False,False,False,0,0,0,False
French Polynesia,True,True,False,1,2,0,False
French Southern Territories,False,False,False,0,0,0,False
Gabon,True,True,True,1,9,48,True
Gambia,False,False,False,0,0,0,False
Georgia,True,True,True,1,12,74,True
Germany,True,True,True,1,16,400,True
Ghana,True,True,True,1,10,216,True
Gibraltar,False,False,False,0,0,0,False
Greece,True,True,True,1,7,13,True
Greenland,False,False,False,0,0,0,False
Grenada,False,False,False,0,0,0,False
Guadeloupe,False,False,False,0,0,0,False
Guam,False,False,False,0,0,0,False
Guatemala,True,True,True,1,22,342,True
Guernsey Jersey,True,True,False,2,25,0,False
Guinea,True,True,True,1,8,34,True
