feature_class,source,country,entity_count
mountains,GMBA,GLOBAL,5629
seas,MarineRegions,GLOBAL,101
forests,OSM,Afghanistan,888
forests,OSM,Albania,12562
forests,OSM,Algeria,36206
forests,OSM,Andorra,1184
forests,OSM,Angola,11663
forests,OSM,Argentina,236937
forests,OSM,Armenia,32031
forests,OSM,Australia,278290
forests,OSM,Austria,78111
forests,OSM,Azerbaijan,10292
forests,OSM,Bahamas,4252
forests,OSM,Bangladesh,8148
forests,OSM,Belarus,280762
forests,OSM,Belgium,42701
forests,OSM,Belize,22509
forests,OSM,Benin,3150
forests,OSM,Bhutan,7223
forests,OSM,Bolivia,40040
forests,OSM,Bosnia and Herzegovina,63115
forests,OSM,Botswana,439
forests,OSM,Brazil,1169839
forests,OSM,Bulgaria,78878
forests,OSM,Burkina Faso,31829
forests,OSM,Burundi,6466
forests,OSM,Cabo Verde,32106
forests,OSM,Cambodia,2725
forests,OSM,Cameroon,14505
forests,OSM,Canada,2086325
forests,OSM,Central African Republic,38931
forests,OSM,Chad,4889
forests,OSM,Chile,73868
forests,OSM,China,407752
forests,OSM,Colombia,75975
forests,OSM,Congo,6679
forests,OSM,Cook Islands,86
forests,OSM,Costa Rica,11313
forests,OSM,Cote d'Ivoire,5248
forests,OSM,Croatia,28147
forests,OSM,Cuba,5957
forests,OSM,Cyprus,9282
forests,OSM,Czech Republic,86418
forests,OSM,Democratic People's Republic of Korea,25588
forests,OSM,Democratic Republic of the Congo,108212
forests,OSM,Denmark,22083
forests,OSM,Djibouti,248
forests,OSM,Ecuador,13294
forests,OSM,Egypt,531
forests,OSM,El Salvador,2348
forests,OSM,Equatorial Guinea,1199
forests,OSM,Eritrea,44429
forests,OSM,Estonia,30045
forests,OSM,Ethiopia,9363
forests,OSM,Faroe Islands,230
forests,OSM,Fiji,1945
forests,OSM,Finland,363737
forests,OSM,France,664609
forests,OSM,French Polynesia,3815
forests,OSM,Gabon,18018
forests,OSM,Georgia,49215
forests,OSM,Germany,567585
forests,OSM,Ghana,4395
forests,OSM,Greece,76492
forests,OSM,Greenland,8
forests,OSM,Guatemala,6965
