country,geometry_type,invalid_geometry_count,parsed_geometry_count,parse_error_count
Afghanistan,ALL_TYPES,0,22232,0
Afghanistan,LineString,0,7463,0
Afghanistan,MultiPolygon,0,8664,0
Afghanistan,Point,0,5669,0
Afghanistan,Polygon,0,436,0
Albania,ALL_TYPES,0,53366,0
Albania,LineString,0,15281,0
Albania,MultiPolygon,0,16071,0
Albania,Point,0,21952,0
Albania,Polygon,0,62,0
Algeria,ALL_TYPES,1,151045,0
Algeria,LineString,0,54771,0
Algeria,MultiPolygon,0,57382,0
Algeria,Point,0,37368,0
Algeria,Polygon,1,1524,0
Andorra,ALL_TYPES,0,3994,0
Andorra,LineString,0,1503,0
Andorra,MultiPolygon,0,1550,0
Andorra,Point,0,940,0
Andorra,Polygon,0,1,0
Angola,ALL_TYPES,0,42590,0
Angola,LineString,0,18611,0
Angola,MultiPolygon,0,19751,0
Angola,Point,0,4210,0
Angola,Polygon,0,18,0
Argentina,ALL_TYPES,0,808023,0
Argentina,LineString,0,330597,0
Argentina,MultiPolygon,0,350076,0
Argentina,Point,0,126818,0
Argentina,Polygon,0,532,0
Armenia,ALL_TYPES,0,63949,0
Armenia,LineString,0,22048,0
Armenia,MultiPolygon,0,24738,0
Armenia,Point,0,17113,0
Armenia,Polygon,0,50,0
Australia,ALL_TYPES,0,1755661,0
Australia,LineString,0,732167,0
Australia,MultiPolygon,0,778872,0
Australia,Point,0,242379,0
Australia,Polygon,0,2243,0
Austria,ALL_TYPES,0,870666,0
Austria,LineString,0,276828,0
Austria,MultiPolygon,0,286313,0
Austria,Point,0,307517,0
Austria,Polygon,0,8,0
Azerbaijan,ALL_TYPES,0,56002,0
Azerbaijan,LineString,0,19096,0
Azerbaijan,MultiPolygon,0,19575,0
Azerbaijan,Point,0,17266,0
Azerbaijan,Polygon,0,65,0
Bahamas,ALL_TYPES,0,16418,0
Bahamas,LineString,0,7367,0
Bahamas,MultiPolygon,0,7653,0
Bahamas,Point,0,1397,0
Bahamas,Polygon,0,1,0
Bangladesh,ALL_TYPES,0,903873,0
Bangladesh,LineString,0,426363,0
Bangladesh,MultiPolygon,0,428322,0
Bangladesh,Point,0,49131,0
Bangladesh,Polygon,0,57,0
Belarus,ALL_TYPES,0,645913,0
Belarus,LineString,0,270039,0
Belarus,MultiPolygon,0,305249,0
Belarus,Point,0,70499,0
Belarus,Polygon,0,126,0
Belgium,ALL_TYPES,0,872915,0
Belgium,LineString,0,330303,0
Belgium,MultiPolygon,0,335880,0
Belgium,Point,0,206723,0
Belgium,Polygon,0,9,0
Belize,ALL_TYPES,0,42487,0
Belize,LineString,0,19603,0
Belize,MultiPolygon,0,21295,0
Belize,Point,0,1588,0
Belize,Polygon,0,1,0
Benin,ALL_TYPES,0,22498,0
Benin,LineString,0,6597,0
Benin,MultiPolygon,0,7118,0
Benin,Point,0,8693,0
Benin,Polygon,0,90,0
