country,uri,code,geofabrik_cont
Algeria,<http://www.wikidata.org/entity/Q262>,dza,africa
Angola,<http://www.wikidata.org/entity/Q916>,ago,africa
Benin,<http://www.wikidata.org/entity/Q962>,ben,africa
Botswana,<http://www.wikidata.org/entity/Q963>,bwa,africa
Burkina Faso,<http://www.wikidata.org/entity/Q965>,bfa,africa
Burundi,<http://www.wikidata.org/entity/Q967>,bdi,africa
Cameroon,<http://www.wikidata.org/entity/Q1009>,cmr,africa
Cabo Verde,<http://www.wikidata.org/entity/Q1011>,cpv,africa
Central African Republic,<http://www.wikidata.org/entity/Q929>,caf,africa
Chad,<http://www.wikidata.org/entity/Q657>,tcd,africa
Congo,<http://www.wikidata.org/entity/Q971>,cog,africa
Democratic Republic of the Congo,<http://www.wikidata.org/entity/Q974>,cod,africa
Djibouti,<http://www.wikidata.org/entity/Q977>,dji,africa
Egypt,<http://www.wikidata.org/entity/Q79>,egy,africa
Equatorial Guinea,<http://www.wikidata.org/entity/Q983>,gnq,africa
Eritrea,<http://www.wikidata.org/entity/Q986>,eri,africa
Ethiopia,<http://www.wikidata.org/entity/Q115>,eth,africa
Gabon,<http://www.wikidata.org/entity/Q1000>,gba,africa
Ghana,<http://www.wikidata.org/entity/Q117>,gha,africa
Guinea,<http://www.wikidata.org/entity/Q1006>,gin,africa
Guinea-Bissau,<http://www.wikidata.org/entity/Q1007>,gnb,africa
Cote d'Ivoire,<http://www.wikidata.org/entity/Q1008>,civ,africa
Kenya,<http://www.wikidata.org/entity/Q114>,ken,africa
Lesotho,<http://www.wikidata.org/entity/Q1013>,lso,africa
Liberia,<http://www.wikidata.org/entity/Q1014>,lbr,africa
Libya,<http://www.wikidata.org/entity/Q1016>,lby,africa
Madagascar,<http://www.wikidata.org/entity/Q1019>,mdg,africa
Malawi,<http://www.wikidata.org/entity/Q1020>,mwi,africa
Mali,<http://www.wikidata.org/entity/Q912>,mli,africa
Mauritania,<http://www.wikidata.org/entity/Q1025>,mrt,africa
Mauritius,<http://www.wikidata.org/entity/Q1027>,mus,africa
Morocco,<http://www.wikidata.org/entity/Q1028>,mar,africa
Mozambique,<http://www.wikidata.org/entity/Q1029>,moz,africa
Namibia,<http://www.wikidata.org/entity/Q1030>,nam,africa
Niger,<http://www.wikidata.org/entity/Q1032>,ner,africa
Nigeria,<http://www.wikidata.org/entity/Q1033>,nga,africa
Rwanda,<http://www.wikidata.org/entity/Q1037>,rwa,africa
Saint Helena - Ascension and Tristan da Cunha,<http://www.wikidata.org/entity/Q192184>,shn,africa
